評論者,星等,評論內容
FU FU,5,"這次來用餐真的被師傅的炒功驚艷到了，一定要給出五星好評支持！首先必推的是 XO醬炒蘿蔔糕，這道菜一上桌就香氣撲鼻，XO醬的鮮甜微辣完美滲透進蘿蔔糕中，表皮炒得微焦酥香，內裡卻依舊綿密軟嫩，每一口都充滿層次感，真的非常好吃。

蔬菜部分點了 清炒芥蘭，火候掌握得恰到好處，芥蘭吃起來口感非常清脆爽口，完全沒有老澀感，保留了蔬菜原始的鮮甜，在重口味的熱炒中起到了完美的平衡作用。而今日的最愛莫過於 乾炒牛河，這道菜展現了什麼叫做「色香味俱全」，醬色深紅油亮卻不油膩，河粉Q彈且吸滿了濃郁鍋氣。最令人滿意的是牛肉處理得極其軟嫩，厚度適中且入味，每一口都能感受到大火快炒的魅力。

稍微比較一下的話，雖然 咖哩綜合 的表現相較之下顯得比較普通、中規中矩一些，沒有前面幾道菜那樣令人眼睛一亮，但整體的餐點水準依舊非常高。如果您是追求鍋氣與食材口感的饕客，這間店的熱炒系列絕對不會讓您失望，是會讓人想多次回訪的好味道！"
Angel Chen,3,最好吃的是清炒高麗菜，卻沒幫他拍照。 其次是檸檬紅茶、蔥油雞公仔麵。北菇滑雞肉量比較少，牛肉滑蛋燴飯不知道為何不是熱的。 餐廳生意很好，下次來吃看看其他餐點。
Vicky Li,5,香港人開的店，氛圍和香港的店一樣，翻桌滿快，份量足、價格平價，麵看起來沒蔬菜但其實藏在裡面，還不錯。蘿蔔糕是臘腸口味，我不愛。
Diane Lee,1,"非常差的用餐經驗
今天一開始點了XO醬炒牛肉公仔麵 星洲炒米粉 楊枝甘露 滿心歡喜想吃吃香港的味道 等了很久好不容易入座
點餐時，小姐的態度非常差， 確認了一下餐點說「飲料呢？」我以為每份主餐應該要搭配一份甜點或飲料，於是又加點了一份芝麻糊。
過了一陣子聽到隔壁餐桌說某某餐點，今天有搭配套餐有飲料 才看到我們點的新粥炒米粉好像是套餐三
於是就問小姊說請問是否有”附飲料”?小姐面無表情地說「有啊，等我一下 待會回來」
結果選了鹹檸檬雪碧 小姐離開後菜單被+50元 這跟”附”飲料 好像不太一樣 但想想也沒關係，鹹檸檬蠻好喝的 加錢也可以
結果上菜以後先被震撼了一下xo 醬炒公仔完全沒有xo味道 星州炒米粉也跟我在香港吃的天差地遠 (附圖）
吃到一半實在難以下咽，於是先帶小孩離開
結果家人到最後結帳飲料依然沒有上桌，
可是還是被加收了50 可以說是黑店嗎？
這間店生意很好，完全懶得跟客人多說一句
連講解菜單都不願意
真是令人失望的用餐經驗"
Harmond Cheng,3,"自二十多年前去金華街政大公企中心上課發現這家港式茶餐廳後只要想吃蛋治和奶茶便會想到他們, 這回愛國東路已是他們的第三個營業店面了, 蛋治味道有保持但變成煎蛋而非港式的炒滑蛋所以質素就不若從前了, 煎午餐肉夠水準😋 可惜飯面上不是放半熟蛋(羡慕有人的食評說有吃到), 但他們的餐點售價比其它港式茶餐廳便宜而且不收服務費, 所以用餐時間是會要輪候位子的。至於服務就真的有到了香港茶餐廳的味道😅"
TZUTZU,5,"老闆人很好 店員們也都是香港人
有點香港口音蠻有趣的很像在香港
東西很好吃服務很好 看不懂的菜名可以問店員
乾炒牛河 咕咾雞球 法蘭西多士很讚
熱奶茶也好喝他會給你兩包糖我覺得剛剛
平日通常11：30前都有位置不用排隊"
CHU,5,"假日晚上排隊排了一陣子才入座，等待的時候就會提供菜單參考點餐，吃完才到櫃檯結帳。環境明亮乾淨，只是桌與桌之間的距離稍近。

服務迅速不拖泥帶水～一坐下就會送上水，有分食需求也會主動提供小碗，吃完也會立刻就收桌（稱讚）。

▫️餐肉蛋豬排飯：份量多又好吃，價格便宜～
▫️XO醬腸粉：偏油，但外脆內軟很好吃。
▫️XO炒蘿蔔糕：份量也蠻多～還有豆芽菜畫龍點睛可以解膩又增加口感，也是很好吃的一道！"
yushien,4,"揚州炒飯香味不錯，蝦子多，中規中矩。
滷蛋很好吃。
炒青菜稍油，但是有奶油香
沽老魚很好吃，魚片很大。
蘿蔔糕很大份，三大塊，可以選煎或炒。
醬料很好吃。
上菜很快，會給小碗，服務很不錯，環境乾淨"
Pan,3,"看到評分普遍不錯去吃的，
但吃完不太懂評分那麼高的原因是什麼，
還是因為我們點的都不是招牌菜

只有腊味蘿蔔糕 $90 比較給過
其他都…
咖哩綜合 $130 菜頭、魚蛋、貢丸溫溫冷的
鮮油菠蘿飽 $60 麵包乾硬
XO牛肉炒公仔麵 $200 這份量下偏貴"
發財貓貓 LV10,4,"餐肉蛋炒公仔麵=7/10分
先店員帶位，在跟店員點，
火腿蛋加麵，味道是鹹甜，
口感是軟嫩，下面有醬汁，
要記得攪拌，調味是偏淡，
整體不錯吃，貓會給七分。

招牌奶茶=6/10分
味道是超甜，調味非常濃，
口感是滑順，奶味非常重，
整體是還好，貓會給六分。

法蘭西多士=7/10分
雙吐司包醬，中間花生醬，
上面一層蛋，有附蜂蜜醬，
味道是偏甜，口感是軟嫩，
加醬更提味，貓會給七分。

冰火波蘿包=8/10分
皮脆內軟嫩，中間包奶油，
調味還不錯，貓會給八分。

乾炒牛河粉=7/10分
味道是微鹹，口感是軟嫩，
河粉有嚼勁，調味是還好，
整體不錯吃，貓會給七分。

楊枝甘露=7/10分
味道是微甜，裡面有芒果，
下面西米露，調味還不錯，
這也不錯吃，貓會給七分。

老火湯=7/10分
味道是清甜，口感是滑順，
有一隻雞腿，其他是中藥，
蓮子加枸杞，調味還不錯，
整體不錯喝，貓會給七分。

腐皮捲=8/10分
一份有六塊，有附一沾醬，
皮酥內軟嫩，沾醬會提味，
這道不錯吃，貓會給八分。

橙汁雞排飯=7/10分
雞腿很酥脆，有附橙汁醬，
副菜有點虛，花耶菜滷蛋，
醬汁不錯吃，味道是偏甜，
調味還不錯，貓會給七分。

人潮非常多，常常在排隊，
門口一堆人，表示沒走錯，
餐點都不錯，桌位是稍擠，
很容易併桌，除非四個人，
出餐還算快，不會等很久，
服務還不錯，貓會給七分。

推薦度:冰火波蘿包=腐皮捲>橙汁雞排飯=法蘭西多士=乾炒牛河粉=餐肉蛋炒公仔麵=楊枝甘露>招牌奶茶"
Wendy Wen,4,"第一次來，點了店內推薦的「餐肉蛋豬排飯」
第一口米飯，粒粒分明，外Q內軟，咬下去很彈牙，愈嚼愈香；第二口是有半熟荷包蛋蛋黃與醬油淋在上面的米飯，這就是兒時記憶的味道。豬排有咖哩薑黃味，外脆內軟，好吃，我真的超愛港式豬扒。餐肉就是火腿片，因有些厚度故可煎到外脆內軟，但因有腥味又偏鹹，所以我不愛這個！
鴛鴦奶茶，味道比記憶中略淡些，但仍喝得到茶甘味。
整體算滿意，所以會再來試試其他餐點。用餐時段會排隊和併桌，所以中午早點來或13:30後再來，中午14:30有休息喔。"
楊舒惠,4,"當天跟友人去吃
晚餐時段人蠻多的但等候時間不會太長
點餐後很快就上菜
我們其實覺得每道都滿好吃的
但是旁邊的人吃完他們會開始掃地清潔
讓人觀感不太好😓
若你會在意這些建議外帶"
